X,Y,LAYER

40.394,106.470,2

44.098,109.963,2

48.120,112.997,2

52.459,115.607,2

57.080,117.724,2

61.878,119.311,2

66.817,120.405,2

71.862,120.934,2

76.907,120.899,2

81.952,120.334,2

86.891,119.241,2

91.688,117.618,2

96.275,115.466,2

100.614,112.855,2

104.636,109.751,2

108.269,106.258,2

111.550,102.413,2

114.372,98.215,2

116.736,93.735,2

118.606,89.007,2

119.946,84.139,2

120.723,79.129,2

121.005,74.085,2

32.703,74.226,2

110.739,74.226,2

105.623,74.226,2

47.979,74.226,2

53.129,74.226,2

53.729,79.270,2

55.528,84.033,2

58.421,88.231,2

62.231,91.618,2

66.747,93.982,2

71.686,95.216,2

76.801,95.216,2

81.740,93.982,2

86.256,91.618,2

90.066,88.231,2

92.958,84.033,2

94.758,79.270,2

95.357,74.226,2

90.242,74.226,2

85.127,74.226,2

74.261,74.226,2

74.226,79.976,2

79.235,77.118,2

79.235,71.368,2

74.226,68.475,2

69.251,71.368,2

69.251,77.118,2

83.857,69.181,2

80.435,65.265,2

75.566,63.430,2

70.380,64.065,2

66.112,67.029,2

63.677,71.615,2

63.677,76.836,2

66.112,81.458,2

70.380,84.386,2

75.566,85.021,2

80.435,83.186,2

83.857,79.270,2

89.360,69.040,2

86.855,64.418,2

83.010,60.820,2

78.177,58.703,2

72.920,58.280,2

67.805,59.585,2

63.395,62.443,2

60.185,66.606,2

58.456,71.580,2

58.456,76.872,2

60.185,81.846,2

63.395,86.009,2

67.805,88.866,2

72.920,90.171,2

78.177,89.748,2

82.975,87.631,2

86.855,84.068,2

89.360,79.412,2

94.758,69.181,2

92.958,64.418,2

90.066,60.220,2

86.256,56.833,2

81.740,54.470,2

76.801,53.270,2

71.686,53.270,2

66.747,54.470,2

62.231,56.833,2

58.421,60.220,2

55.528,64.418,2

53.729,69.181,2

48.508,79.341,2

49.989,84.280,2

52.424,88.831,2

55.669,92.782,2

59.656,96.063,2

64.207,98.497,2

69.110,99.979,2

74.226,100.473,2

79.376,99.979,2

84.280,98.497,2

88.831,96.063,2

92.817,92.782,2

96.063,88.831,2

98.497,84.280,2

99.979,79.341,2

100.508,74.226,2

99.979,69.110,2

98.497,64.171,2

96.063,59.656,2

92.817,55.669,2

