X,Y,LAYER
105.5,109.563,A
100,109.563,A
94.5,109.563,A
108.25,104.761,A
102.75,104.761,A
97.25,104.761,A
91.75,104.761,A
111,100,A
105.5,100,A
100,100,A
94.5,100,A
89,100,A
108.25,95.242,A
102.75,95.242,A
97.25,95.242,A
91.75,95.242,A
105.5,90.437,A
100,90.437,A
94.5,90.437,A
105.5,109.563,B
100,109.563,B
94.5,109.563,B
108.25,104.761,B
91.75,104.761,B
111,100,B
89,100,B
108.25,95.242,B
91.75,95.242,B
105.5,90.437,B
100,90.437,B
94.5,90.437,B
